Code,RIC,Ticker,Short_Name,ID_SEDOL1,ID_ISIN,ID_BB_UNIQUE,ID_BB_GLOBAL,Connect
333,000333.SZ,000333 CH Equity,MIDEA GROUP CO-A,BDVHRJ8,CNE100001QQ5,EQ0000000001455466,BBG000QLWGC0,0
338,000338.SZ,000338 CH Equity,WEICHAI POWER-A,B1WPGD4,CNE1000000D4,EQ0000000002654095,BBG000R7HVC4,0
400,000400.SZ,000400 CH Equity,XUJI ELECTRIC-A,6007685,CNE0000007F6,EQ0022307300002000,BBG000D454C9,0
401,000401.SZ,000401 CH Equity,TANGSHAN JIDON-A,6889946,CNE000000GX5,EQ0019311100002000,BBG000P6KJG7,0
402,000402.SZ,000402 CH Equity,FINANCIAL ST-A,6177685,CNE000000KT5,EQ0019123400002000,BBG000P67P87,0
403,000403.SZ,000403 CH Equity,SOUTHERN SHUAN-A,6987884,CNE000000F14,EQ0019123600002000,BBG000C07NG0,0
404,000404.SZ,000404 CH Equity,HUAYI COMPRESS-A,6429922,CNE000000KM0,EQ0019308900002000,BBG000P6C4K4,0
407,000407.SZ,000407 CH Equity,SHANDONG SHENG-A,6798718,CNE000000G88,EQ0019318500002000,BBG000P6FPT5,0
408,000408.SZ,000408 CH Equity,ZANGGE HOLDING-A,6445490,CNE000000L08,EQ0019125200002000,BBG000P69X97,0
409,000409.SZ,000409 CH Equity,SHANGDONG GEO -A,6381033,CNE000000L40,EQ0019123800002000,BBG000P6KFW7,0
410,000410.SZ,000410 CH Equity,SHENYANG MACH-A,6765831,CNE0000008W9,EQ0019321200002000,BBG000P6FQC1,0
411,000411.SZ,000411 CH Equity,ZHEJIANG INTER-A,6420754,CNE0000008D9,EQ0019321300002000,BBG000P69L93,0
413,000413.SZ,000413 CH Equity,TUNGHSU OPTOEL-A,6795065,CNE000000578,EQ0019319700003000,BBG000P6K7Q2,0
415,000415.SZ,000415 CH Equity,BOHAI LEASING-A,6981068,CNE0000009B1,EQ0019331900001000,BBG000P6MB36,0
416,000416.SZ,000416 CH Equity,MINSHENG HOLDI-A,6714855,CNE0000009P1,EQ0019321600002000,BBG000P6FFN3,0
417,000417.SZ,000417 CH Equity,HEFEI DEPT ST0-A,6449072,CNE000000BV0,EQ0019330700002000,BBG000P69MW5,0
419,000419.SZ,000419 CH Equity,CHANGSHA TONG-A,6187811,CNE000000LL0,EQ0019332400002000,BBG000P65RV9,0
420,000420.SZ,000420 CH Equity,JILIN CHEM FIB-A,6454043,CNE0000008F4,EQ0019334400001000,BBG000P6CDH8,0
421,000421.SZ,000421 CH Equity,NANJING PUBLIC-A,6628514,CNE0000003L3,EQ0019341600002000,BBG000P6F0Q3,0
422,000422.SZ,000422 CH Equity,HUBEI YIHUA CH-A,6446954,CNE0000009C9,EQ0019348200002000,BBG000P69QG4,0
423,000423.SZ,000423 CH Equity,DONG E-E-JIAO-A,6276719,CNE0000006Y9,EQ0019338500002000,BBG000P6FMV9,0
425,000425.SZ,000425 CH Equity,XCMG CONSTRUCT-A,6984249,CNE000000FH0,EQ0019352000002000,BBG000P6MD41,0
426,000426.SZ,000426 CH Equity,INNER MONGOLIA-A,6204260,CNE000000D24,EQ0019124600002000,BBG000P64HH8,0
428,000428.SZ,000428 CH Equity,HUATIAN HOTEL -A,6670021,CNE000000LM8,EQ0019332500002000,BBG000P69RH1,0
429,000429.SZ,000429 CH Equity,GUANGDONG PROV-A,6398798,CNE0000006Z6,EQ0019324100003000,BBG000P67TJ7,0
430,000430.SZ,000430 CH Equity,ZHANGJIAJIE TO-A,6991238,CNE000000F22,EQ0019346800002000,BBG000P6MHM2,0
488,000488.SZ,000488 CH Equity,SHANDONG CHEN-A,6294960,CNE0000015H5,EQ0022317900001000,BBG000D3ZD38,0
498,000498.SZ,000498 CH Equity,SHANDONG HI-SP-A,6011697,CNE0000009D7,EQ0022321800002000,BBG000D3MNC0,0
501,000501.SZ,000501 CH Equity,WUHAN DEPT STO-A,6984120,CNE000000024,EQ0013090200003000,BBG000BZGFB6,0
502,000502.SZ,000502 CH Equity,LVJING HOLDING-A,6803117,CNE000000214,EQ0013090300003000,BBG000BZBT03,0
503,000503.SZ,000503 CH Equity,CHINA REFORM -A,6803106,CNE000000255,EQ0013090400003000,BBG000BZDYR1,0
504,000504.SZ,000504 CH Equity,NANHUA BIO-MED-A,6425191,CNE000000263,EQ0013090500003000,BBG000BZ95F2,0
505,000505.SZ,000505 CH Equity,HAINAN JINGLIA-A,6402376,CNE0000002X0,EQ0013090600003000,BBG000BZC1X7,0
506,000506.SZ,000506 CH Equity,ZHONGRUN RESOU-A,6807379,CNE0000004D8,EQ0013090700003000,BBG000BZG1F3,0
507,000507.SZ,000507 CH Equity,ZHUHAI PORT CO-A,6994044,CNE000000149,EQ0013090800003000,BBG000BZB989,0
509,000509.SZ,000509 CH Equity,HUASU HOLDINGS-A,6782205,CNE0000001G7,EQ0013091000002000,BBG000BZFZS5,0
510,000510.SZ,000510 CH Equity,SICHUAN XINJIN-A,6780351,CNE000000172,EQ0013091200003000,BBG000BZFYJ8,0
513,000513.SZ,000513 CH Equity,LIVZON PHARM-A,6997139,CNE0000002Y8,EQ0013091400003000,BBG000BZGRC9,0
514,000514.SZ,000514 CH Equity,CHONGQING YUK-A,6187963,CNE0000004R8,EQ0013091500003000,BBG000BZB1D0,0
516,000516.SZ,000516 CH Equity,XIAN INTERNA-A,6983934,CNE000000016,EQ0013091700003000,BBG000BZGHP7,0
517,000517.SZ,000517 CH Equity,RONGAN PROPERT-A,6620866,CNE0000000R6,EQ0013091800003000,BBG000BZCW41,0
518,000518.SZ,000518 CH Equity,JIANGSU BIOENG-A,6502759,CNE0000001P8,EQ0013091900003000,BBG000BZCCZ1,0
519,000519.SZ,000519 CH Equity,NORTH INDUSTRI-A,6193261,CNE000000198,EQ0013092000003000,BBG000BZ9NC6,0
520,000520.SZ,000520 CH Equity,CHANG JIANG-A,6932248,CNE0000003M1,EQ0013092100003000,BBG000BZG6V4,0
521,000521.SZ,000521 CH Equity,CHANGHONG MEIL-A,6427034,CNE000000BT4,EQ0013092200003000,BBG000BZC568,0
523,000523.SZ,000523 CH Equity,LONKEY IND CO-A,6389554,CNE0000005T1,EQ0013092400003000,BBG000BZCNQ7,0
524,000524.SZ,000524 CH Equity,GUANGZHOU LING-A,6389394,CNE000000651,EQ0013093000003000,BBG000BZBS14,0
525,000525.SZ,000525 CH Equity,NANJING REDSUN-A,6606424,CNE0000002Z5,EQ0013093100003000,BBG000BZCTM8,0
526,000526.SZ,000526 CH Equity,XIAMEN UNIGROU-A,6983945,CNE0000005F0,EQ0013093200003000,BBG000BZGGD2,0
528,000528.SZ,000528 CH Equity,GUANGXI LIUGON-A,6389316,CNE000000DB8,EQ0013093400003000,BBG000BZBKW7,0
529,000529.SZ,000529 CH Equity,GUANGDONG GUAN-A,6389231,CNE0000002B6,EQ0013093500003000,BBG000BZBHV5,0
530,000530.SZ,000530 CH Equity,BINGSHAN REFRI-A,6258676,CNE000000DK9,EQ0013093600003000,BBG000BZB667,0
531,000531.SZ,000531 CH Equity,GUANGZHOU HENG-A,6389479,CNE000000DS2,EQ0013582400003000,BBG000BG4R52,0
532,000532.SZ,000532 CH Equity,ZHUHAI HUAJIN-A,6427272,CNE0000002C4,EQ0013582500003000,BBG000BZGSN5,0
533,000533.SZ,000533 CH Equity,SHUNNA-A,6388636,CNE0000003T6,EQ0013582600003000,BBG000BZBR52,0
534,000534.SZ,000534 CH Equity,WEDGE INDUSTRI-A,6780362,CNE0000004T4,EQ0013582700003000,BBG000BZCWR6,0
536,000536.SZ,000536 CH Equity,CPT TECHNOLOGY-A,6581736,CNE0000002D2,EQ0013093800003000,BBG000BZCRN1,0
537,000537.SZ,000537 CH Equity,TIANJIN GUANGY-A,6902605,CNE000000271,EQ0013093900003000,BBG000BZG9R3,0
538,000538.SZ,000538 CH Equity,YUNNAN BAIYAO-A,6984045,CNE0000008X7,EQ0013094000003000,BBG000BZGKX1,0
539,000539.SZ,000539 CH Equity,GUANGDONG ELEC-A,6388551,CNE0000006J0,EQ0013094100003000,BBG000BZBH09,0
540,000540.SZ,000540 CH Equity,ZHONGTIAN FINA-A,6997140,CNE000000FL2,EQ0013582800003000,BBG000BZ9LT2,0
541,000541.SZ,000541 CH Equity,FOSHAN ELEC-A,6354303,CNE000000DN3,EQ0013094200003000,BBG000BZB8J9,0
543,000543.SZ,000543 CH Equity,AN HUI WENERGY-A,6037756,CNE000000DF9,EQ0013094400003000,BBG000BZGD03,0
544,000544.SZ,000544 CH Equity,ZHONGYUAN ENVI-A,6993182,CNE000000F30,EQ0013094500003000,BBG000BZGN83,0
545,000545.SZ,000545 CH Equity,GPRO TITANIUM -A,6476962,CNE0000002F7,EQ0013096200003000,BBG000BZCGF4,0
546,000546.SZ,000546 CH Equity,JINYUAN EP CO -A,6479240,CNE0000004G1,EQ0013096300002000,BBG000BZCFG5,0
547,000547.SZ,000547 CH Equity,ADDSINO CO LTD-A,6354347,CNE000000DM5,EQ0013096400003000,BBG000BZBBR3,0
548,000548.SZ,000548 CH Equity,HUNAN INVEST-A,6187918,CNE000000DT0,EQ0013094600003000,BBG000BZC7T9,0
550,000550.SZ,000550 CH Equity,JIANGLING MOTO-A,6475282,CNE000000CV8,EQ0013094700003000,BBG000BZCBZ3,0
551,000551.SZ,000551 CH Equity,CREATE TECHNOL-A,6865872,CNE000000FP3,EQ0013582900003000,BBG000BZB364,0
552,000552.SZ,000552 CH Equity,GANSU JINGYUAN-A,6359751,CNE000000D40,EQ0013583000003000,BBG000BZDQZ9,0
553,000553.SZ,000553 CH Equity,ADAMA LTD-A,6434250,CNE0000004V0,EQ0013094800003000,BBG000BZBZ36,0
554,000554.SZ,000554 CH Equity,SINOPEC SHANDO-A,6780328,CNE000000669,EQ0013096600003000,BBG000BZG5P3,0
555,000555.SZ,000555 CH Equity,DIGITAL CHINA -A,6397858,CNE000000FM0,EQ0013574700003000,BBG000BZFHG8,0
557,000557.SZ,000557 CH Equity,NINGXIA WESTER-A,6392897,CNE000000FQ1,EQ0016915300001000,BBG000P67XD4,0
558,000558.SZ,000558 CH Equity,LANDER SPORTS -A,6330314,CNE0000003V2,EQ0013595800003000,BBG000BZCXW8,0
559,000559.SZ,000559 CH Equity,WANXIANG QIAN-A,6932323,CNE000000FB3,EQ0013583100003000,BBG000BZGC69,0
560,000560.SZ,000560 CH Equity,5I5J HOLDING G-A,6503031,CNE000000636,EQ0013583200003000,BBG000BZCHY1,0
561,000561.SZ,000561 CH Equity,SHAANXI FENGHU-A,6187297,CNE0000005K0,EQ0013595900003000,BBG000BZ9759,0
563,000563.SZ,000563 CH Equity,SHAANXI INTL-A,6780287,CNE0000004F3,EQ0013583400003000,BBG000BZDZW2,0
564,000564.SZ,000564 CH Equity,CCOOP GROUP CO-A,6981080,CNE0000003W0,EQ0013583500003000,BBG000BZGJP3,0
565,000565.SZ,000565 CH Equity,CHONGQING SANX-A,6172215,CNE000000305,EQ0013574600003000,BBG000BZ9FM2,0
566,000566.SZ,000566 CH Equity,HAINAN HAIYAO-A,6425113,CNE0000004W8,EQ0015169800003000,BBG000P69V19,0
567,000567.SZ,000567 CH Equity,HAINAN HAIDE I-A,6409719,CNE0000005V7,EQ0015169900003000,BBG000P69KG7,0
568,000568.SZ,000568 CH Equity,LUZHOU LAOJIAO-A,6517485,CNE000000GF2,EQ0013595700003000,BBG000BZCQF2,0
570,000570.SZ,000570 CH Equity,CHANGCHAI CO-A,6187316,CNE000000GT3,EQ0015286400003000,BBG000P64CH9,0
571,000571.SZ,000571 CH Equity,SUNDIRO HOLDIN-A,6433581,CNE000000586,EQ0015169600003000,BBG000P69T23,0
572,000572.SZ,000572 CH Equity,HAIMA AUTOMOBI-A,6425276,CNE0000006L6,EQ0015323400001000,BBG000P69HV7,0
573,000573.SZ,000573 CH Equity,DONGGUAN WIN-A,6388391,CNE0000003D0,EQ0015330200002000,BBG000P668R5,0
576,000576.SZ,000576 CH Equity,JIANGMEN SUGAR-A,6476111,CNE0000005H6,EQ0018364000002000,BBG000P6CBX4,0
581,000581.SZ,000581 CH Equity,WEIFU HIGH-TEC-A,6129255,CNE0000002G5,EQ0016980800003000,BBG000P6M441,0
582,000582.SZ,000582 CH Equity,BEIBUWAN PORT -A,6072779,CNE0000001M5,EQ0017834400001000,BBG000P64655,0
584,000584.SZ,000584 CH Equity,JIANGSU HAGONG-A,6189691,CNE0000001Q6,EQ0011766900002000,BBG000BTSNQ4,0
585,000585.SZ,000585 CH Equity,NORTHEAST ELEC-A,6648385,CNE000000677,EQ0016288700001000,BBG000P6F6R9,0
586,000586.SZ,000586 CH Equity,SICHUAN HUIYUA-A,6819006,CNE0000000H7,EQ0017898000002000,BBG000P6K9Q8,0
587,000587.SZ,000587 CH Equity,JINZHOU CIHANG-A,6419837,CNE0000001K9,EQ0018378100002000,BBG000P686X0,0
589,000589.SZ,000589 CH Equity,GUIZHOU TYRE-A,6387804,CNE000000JH2,EQ0018366600001000,BBG000P67ZP6,0
590,000590.SZ,000590 CH Equity,TUS-GUHAN GROU-A,6434261,CNE000000701,EQ0018332600001000,BBG000P6KM70,0
591,000591.SZ,000591 CH Equity,CECEP SOLAR EN-A,6192893,CNE0000000K1,EQ0018341600002000,BBG000P662V3,0
592,000592.SZ,000592 CH Equity,ZHONGFU STRAIT-A,6356042,CNE0000009F2,EQ0018364500002000,BBG000P67QF7,0
593,000593.SZ,000593 CH Equity,SICHUAN DATONG-A,6189367,CNE000000032,EQ0018369200001000,BBG000P64G35,0
595,000595.SZ,000595 CH Equity,BAOTA INDUSTRY-A,6647832,CNE000000K09,EQ0018370900002000,BBG000P6M8D2,0
596,000596.SZ,000596 CH Equity,ANHUI GUJINGD-A,6048015,CNE000000MD5,EQ0018311100003000,BBG000P64227,0
597,000597.SZ,000597 CH Equity,NORTHEAST PHAR-A,6620435,CNE0000009G0,EQ0018397700002000,BBG000P6F528,0
598,000598.SZ,000598 CH Equity,CHENGDU XINGRO-A,6103970,CNE000000HN4,EQ0018386700002000,BBG000HP61F0,0
599,000599.SZ,000599 CH Equity,QINGDAO DOUBLE-A,6714996,CNE000000K17,EQ0030585000001000,BBG000GBW699,0
600,000600.SZ,000600 CH Equity,JOINTO ENERGY-A,6770233,CNE000000FT5,EQ0019306600002000,BBG000P6HQJ2,0
601,000601.SZ,000601 CH Equity,GUANGDONG SHAO-A,6390374,CNE0000009H8,EQ0019352900002000,BBG000P67W00,0
603,000603.SZ,000603 CH Equity,SHENGDA RESOUR-A,6388465,CNE000000H04,EQ0019350800002000,BBG000P6LZ52,0
605,000605.SZ,000605 CH Equity,BOHAI WATER IN-A,6993513,CNE000000LX5,EQ0019359000002000,BBG000P65XQ2,0
606,000606.SZ,000606 CH Equity,SHUNLIBAN INFORM,6714059,CNE000000M98,EQ0019363500002000,BBG000P6FC14,0
607,000607.SZ,000607 CH Equity,ZHEJIANG HUAME-A,6193658,CNE000000D65,EQ0019352800002000,BBG000P660M7,0
608,000608.SZ,000608 CH Equity,YANGGUANG CO L-A,6391269,CNE000000982,EQ0019353500002000,BBG000P6KH26,0
609,000609.SZ,000609 CH Equity,BEIJING ZODI I-A,6091194,CNE0000007Z4,EQ0019360100002000,BBG000P60TN9,0
610,000610.SZ,000610 CH Equity,XI'AN TOURISM-A,6982221,CNE000000D73,EQ0019829900002000,BBG000P6MCH9,0
611,000611.SZ,000611 CH Equity,INNER MONGOLIA-A,6461775,CNE000000768,EQ0019365300002000,BBG000P6C9G8,0
612,000612.SZ,000612 CH Equity,JIAOZUO WANFAN-A,6504324,CNE000000826,EQ0019829200002000,BBG000P6CMR7,0
613,000613.SZ,000613 CH Equity,HAINAN DADONG-A,6414274,CNE0000008G2,EQ0019360500003000,BBG000P69GP6,0
615,000615.SZ,000615 CH Equity,KINGHAND INDUS-A,6430098,CNE0000007D1,EQ0019850800002000,BBG000P69NZ0,0
616,000616.SZ,000616 CH Equity,HNA INVESTMENT-A,6268211,CNE0000008H0,EQ0019367800001000,BBG000P666L5,0
617,000617.SZ,000617 CH Equity,CNPC CAPITAL C-A,6486109,CNE000000MS3,EQ0019857600002000,BBG000P6CGK7,0
619,000619.SZ,000619 CH Equity,WUHU CONCH PRO-A,6730613,CNE000000MR5,EQ0019368100002000,BBG000P6M646,0
620,000620.SZ,000620 CH Equity,MACROLINK CULT-A,6609371,CNE000000958,EQ0019369800002000,BBG000P6B050,0
622,000622.SZ,000622 CH Equity,HENGLI INDUSTR-A,6980139,CNE0000007G4,EQ0019375900002000,BBG000P6MFR1,0
623,000623.SZ,000623 CH Equity,JILIN AODONG P-A,6086297,CNE000000719,EQ0019369500002000,BBG000P6CQS7,0
625,000625.SZ,000625 CH Equity,CHONGQING CHAN-A,6193948,CNE000000R36,EQ0019375800003000,BBG000P65NX6,0
626,000626.SZ,000626 CH Equity,GRAND INDUSTRIAL,6512833,CNE000000H12,EQ0019390500002000,BBG000P6CXK0,0
627,000627.SZ,000627 CH Equity,HUBEI BIOCAUSE-A,6438951,CNE000000F48,EQ0019377800002000,BBG000P6C8C4,0
628,000628.SZ,000628 CH Equity,CHENGDU HI-TEC-A,6188041,CNE0000005X3,EQ0019379600002000,BBG000P64DJ5,0
629,000629.SZ,000629 CH Equity,PANGANG GROUP -A,6674669,CNE0000007H2,EQ0019379000001000,BBG000P6F957,0
630,000630.SZ,000630 CH Equity,TONGLING NONFE-A,6040550,CNE000000529,EQ0019380900002000,BBG000P63ZT6,0
631,000631.SZ,000631 CH Equity,SHUNFA HENGYE-A,6193551,CNE000000990,EQ0019382600002000,BBG000P6CV79,0
632,000632.SZ,000632 CH Equity,FUJIAN SANMU G-A,6358952,CNE000000685,EQ0019382500002000,BBG000P67LY7,0
633,000633.SZ,000633 CH Equity,XINJIANG HEJIN-A,6817066,CNE000000081,EQ0019377700002000,BBG000P6JWZ9,0
635,000635.SZ,000635 CH Equity,NINGXIA YOUNGL-A,6591780,CNE000000N71,EQ0019382400002000,BBG000P6F3J5,0
636,000636.SZ,000636 CH Equity,GUANGDONG FENG-A,6335052,CNE000000GH8,EQ0019385300002000,BBG000P66CY8,0
