Trading Name,Client Account Name,Client Account Number,Swap Ref,Issue Type ,Stock Description,Ric,Sedol,Open/Unwind,Buy/Sell,Listing Ccy,Swap Ccy,Trade Date,Settlement Date,Stock Quantity,Price (Gross) Listing Ccy,Price (Gross) Swap Ccy,FX Rate,Commission Charge,Commission Charge Basis,Market Equivalent Charges,Market Equivalent Charges Basis,Price (Net) Listing Ccy,Price (Net) Swap Ccy,Net Notional in Listing Ccy,Net Notional in Swap Ccy,Lead Spread,Swap Shell Financing Basis,Swap Shell Financing Basis Period,Swap Shell Financing Basis CCY,Swap Shell Maturtiy Date,Give In,Comment
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CHINA MOLYBDENUM,603993.SH,BP3R574,Open,Buy,CNY,USD,7/13/2020,7/15/2020,5430200,4.5264,0.6468,6.9981,2,BPS,1.09,BPS,4.5278,0.647,"24,586,859.56","3,513,339.40",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CHINA PUBLISHNG,601949.SH,BKM3FC3,Open,Buy,CNY,USD,7/13/2020,7/15/2020,21500,5.93,0.8474,6.9981,2,BPS,1.09,BPS,5.9318,0.8477,"127,533.70","18,225.55",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CHINESE TOWN,000069.ZK,BD5CP51,Open,Buy,CNY,USD,7/13/2020,7/15/2020,1013533,7.937,1.1342,6.9981,2,BPS,1.09,BPS,7.9395,1.1346,"8,046,945.25","1,149,954.54",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CHUNXING PRE MEC,002547.ZK,BD5LY39,Open,Buy,CNY,USD,7/13/2020,7/15/2020,1082961,8.1893,1.1702,6.9981,2,BPS,1.09,BPS,8.1918,1.1706,"8,871,399.92","1,267,714.15",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CIRCUIT TECH,002436.ZK,BD5LWN5,Open,Buy,CNY,USD,7/13/2020,7/15/2020,230900,16.086,2.2986,6.9981,2,BPS,1.09,BPS,16.091,2.2993,"3,715,411.90","530,908.37",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CISRI GAONA MAT,300034.ZK,BD5LWJ1,Open,Buy,CNY,USD,7/13/2020,7/15/2020,17200,20.39,2.9136,6.9981,2,BPS,1.09,BPS,20.3963,2.9145,"350,816.36","50,129.40",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CNNC HUA YUAN,002145.ZK,BD5LTP6,Open,Buy,CNY,USD,7/13/2020,7/15/2020,48000,5.4228,0.7749,6.9981,2,BPS,1.09,BPS,5.4245,0.7751,"260,376.00","37,204.80",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: COMFORT SCI&TECH,002614.ZK,BD5LV16,Open,Buy,CNY,USD,7/13/2020,7/15/2020,97,11.8974698,1.7001,6.9981,2,BPS,1.09,BPS,11.9011425,1.7006248,"1,154.41",164.96,65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: COSCO SHIPPING ENERGY TRAN-A,600026.SH,BP3R9Y9,Open,Buy,CNY,USD,7/13/2020,7/15/2020,15,7.68251418,1.0978,6.9981,2,BPS,1.09,BPS,7.68488577,1.09813889,115.27,16.47,65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: COSCO SHIPPING HOLDINGS CO LTD,601919.SH,BP3R552,Open,Buy,CNY,USD,7/13/2020,7/15/2020,475300,4.3316,0.619,6.9981,2,BPS,1.09,BPS,4.3329,0.6192,"2,059,427.37","294,305.76",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CSG SMART S&TECH,300222.ZK,BD5C8Z2,Open,Buy,CNY,USD,7/13/2020,7/15/2020,43800,9.54,1.3632,6.9981,2,BPS,1.09,BPS,9.5429,1.3636,"417,979.02","59,725.68",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CSSC OFFSHORE AND MARINE ENGINEERIN,600685.SH,BP3R1T8,Open,Buy,CNY,USD,7/13/2020,7/15/2020,15500,24.977619,3.5692,6.9981,2,BPS,1.09,BPS,24.98533,3.570302,"387,272.62","55,339.68",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CTS LOGISTICS,603128.SH,BP3RJD8,Open,Buy,CNY,USD,7/13/2020,7/15/2020,934424,8.608,1.23,6.9981,2,BPS,1.09,BPS,8.6107,1.2304,"8,046,044.74","1,149,715.29",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: CTS LOGISTICS,603128.SH,BP3RJD8,Open,Buy,CNY,USD,7/13/2020,7/15/2020,115600,9.0807346,1.2976,6.9981,2,BPS,1.09,BPS,9.0835378,1.2980006,"1,050,056.97","150,048.87",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: DAHUA TECH,002236.ZK,BD5CNJ1,Open,Buy,CNY,USD,7/13/2020,7/15/2020,12500,21.55,3.0794,6.9981,2,BPS,1.09,BPS,21.5567,3.0804,"269,458.75","38,505.00",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: DALI TECHNOLOGY,002214.ZK,BMVB2D2,Open,Buy,CNY,USD,7/13/2020,7/15/2020,1400,30.74965,4.394,6.9981,2,BPS,1.09,BPS,30.75914,4.39536,"43,062.80","6,153.50",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: DAN BOND TECH,002618.ZK,BD5LR29,Open,Buy,CNY,USD,7/13/2020,7/15/2020,374406,10.685,1.5268,6.9981,2,BPS,1.09,BPS,10.6883,1.5273,"4,001,763.65","571,830.28",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: DARE POWER DEKOR,000910.ZK,BD5LTT0,Open,Buy,CNY,USD,7/13/2020,7/15/2020,1600,16.93,2.4192,6.9981,2,BPS,1.09,BPS,16.9352,2.4199,"27,096.32","3,871.84",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: DAS INTELLITECH,002421.ZK,BD5C8B8,Open,Buy,CNY,USD,7/13/2020,7/15/2020,666100,4.5641,0.6522,6.9981,2,BPS,1.09,BPS,4.5655,0.6524,"3,041,079.55","434,563.64",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: DESAY,000049.ZK,BD5C766,Open,Buy,CNY,USD,7/13/2020,7/15/2020,16600,54.7036,7.8169,6.9981,2,BPS,1.09,BPS,54.7205,7.8193,"908,360.30","129,800.38",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: DL HV INDUSTRY,002204.ZK,BD5LZR0,Open,Buy,CNY,USD,7/13/2020,7/15/2020,695972,4.8955,0.6995,6.9981,2,BPS,1.09,BPS,4.897,0.6997,"3,408,174.88","486,971.61",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: DONGFANG PRECISN,002611.ZK,BFCCQD3,Open,Buy,CNY,USD,7/13/2020,7/15/2020,351700,5.199,0.7429,6.9981,2,BPS,1.09,BPS,5.2006,0.7431,"1,829,051.02","261,348.27",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: DOUBLE COMPANY,600136.SH,BFMXJM6,Open,Buy,CNY,USD,7/13/2020,7/15/2020,4900,9.3527,1.3365,6.9981,2,BPS,1.09,BPS,9.3556,1.3369,"45,842.44","6,550.81",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: EONTEC,300328.ZK,BMTCWG0,Open,Buy,CNY,USD,7/13/2020,7/15/2020,3,12.59658,1.8,6.9981,2,BPS,1.09,BPS,12.600469,1.800556,37.8,5.4,65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: ETERNAL ASIA,002183.ZK,BD5CNX5,Open,Buy,CNY,USD,7/13/2020,7/15/2020,53,6.56982,0.9388,6.9981,2,BPS,1.09,BPS,6.57185,0.93909,348.31,49.77,65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: EVERBRIGHT,601788.SH,BZ0D1Y4,Open,Buy,CNY,USD,7/13/2020,7/15/2020,333800,28.0193,4.0038,6.9981,2,BPS,1.09,BPS,28.0279,4.005,"9,355,713.02","1,336,869.00",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: EVERBRIGHT,601788.SH,BZ0D1Y4,Open,Buy,CNY,USD,7/13/2020,7/15/2020,74604,28.1862467,4.0276999,6.9981,2,BPS,1.09,BPS,28.1949478,4.0289433,"2,103,455.89","300,575.29",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: EVERBRIGHT BANK,601818.SH,BP3R2P1,Open,Buy,CNY,USD,7/13/2020,7/15/2020,723545,4.1463743,0.5925,6.9981,2,BPS,1.09,BPS,4.1476543,0.5926829,"3,001,014.53","428,832.75",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: FAWER-A,000030.ZK,BD5M0Z6,Open,Buy,CNY,USD,7/13/2020,7/15/2020,24200,7.6831,1.0979,6.9981,2,BPS,1.09,BPS,7.6855,1.0982,"185,989.10","26,576.44",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: FIRSTAR TECH,300256.ZK,BD760W3,Open,Buy,CNY,USD,7/13/2020,7/15/2020,10200,7.424284,1.0609,6.9981,2,BPS,1.09,BPS,7.426576,1.061227,"75,751.08","10,824.52",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: FIRSTAR TECH,300256.ZK,BD760W3,Open,Buy,CNY,USD,7/13/2020,7/15/2020,317500,7.6233,1.0893,6.9981,2,BPS,1.09,BPS,7.6257,1.0896,"2,421,159.75","345,948.00",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: FOCUS MEDIA,002027.ZK,BD5CND5,Open,Buy,CNY,USD,7/13/2020,7/15/2020,232800,6.07,0.8674,6.9981,2,BPS,1.09,BPS,6.0719,0.8677,"1,413,538.32","202,000.56",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: FOCUSED PHOTONIC,300203.ZK,BD5CCB6,Open,Buy,CNY,USD,7/13/2020,7/15/2020,9800,17.8074,2.5446,6.9981,2,BPS,1.09,BPS,17.8129,2.5454,"174,566.42","24,944.92",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: FUAN PHARMA,300194.ZK,BL5P4H1,Open,Buy,CNY,USD,7/13/2020,7/15/2020,594945,6.088,0.87,6.9981,2,BPS,1.09,BPS,6.0899,0.8703,"3,623,155.56","517,780.63",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: FUCHUNJIANG ENV,002479.ZK,BD5LYK6,Open,Buy,CNY,USD,7/13/2020,7/15/2020,177900,6.4236,0.9179,6.9981,2,BPS,1.09,BPS,6.4256,0.9182,"1,143,114.24","163,347.78",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: GARDEN BIO ORD A,300401.ZK,BKDQ844,Open,Buy,CNY,USD,7/13/2020,7/15/2020,25202,17.14,2.4492,6.9981,2,BPS,1.09,BPS,17.1453,2.45,"432,095.85","61,744.90",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: GCL,002015.ZK,BMVB4Z8,Open,Buy,CNY,USD,7/13/2020,7/15/2020,181400,5.8895,0.8416,6.9981,2,BPS,1.09,BPS,5.8913,0.8419,"1,068,681.82","152,720.66",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: GEM CO. LTD,002340.ZK,BD5CFW8,Open,Buy,CNY,USD,7/13/2020,7/15/2020,160900,5.44,0.7774,6.9981,2,BPS,1.09,BPS,5.4417,0.7776,"875,569.53","125,115.84",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: GENIMOUS INVEST,000676.ZK,BD5CQC5,Open,Buy,CNY,USD,7/13/2020,7/15/2020,30300,10.02,1.4318,6.9981,2,BPS,1.09,BPS,10.0231,1.4322,"303,699.93","43,395.66",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: GOLDEN HORSE,000766.ZK,BD5LR07,Open,Buy,CNY,USD,7/13/2020,7/15/2020,2100,5.28,0.7545,6.9981,2,BPS,1.09,BPS,5.2816,0.7547,"11,091.36","1,584.87",65,LIBOR,1m,USD,3/10/2022,No,
SHANGHAI MINGSHI INVESTMENT,MINGSHI CHINA OPTIMA MASTER FUND,061788JH9,QRUV3,STOCK,NB: GOLDENMAX INTERN,002636.ZK,BD5M0W3,Open,Buy,CNY,USD,7/13/2020,7/15/2020,67200,9.8909,1.4134,6.9981,2,BPS,1.09,BPS,9.894,1.4138,"664,876.80","95,007.36",65,LIBOR,1m,USD,3/10/2022,No,
